# OpenSignals Text File Format. Version 1
# {"00:07:80:4D:33:A1": {"position": 0, "device": "biosignalsplux", "device name": "00:07:80:4D:33:A1", "device connection": "BTH00:07:80:4D:33:A1", "sampling rate": 1000, "resolution": [16], "firmware version": 775, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2026-6-2", "time": "13:11:9.163", "channels": [1], "sensor": ["EEG"], "label": ["CH1"], "column": ["nSeq", "DI", "CH1"], "special": [{"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}], "digital IO": [0, 1], "sleeve color": ["green"]}}
# EndOfHeader
0	0	32416	
1	0	32180	
2	0	31720	
3	0	31520	
4	0	31084	
5	0	30620	
6	0	30672	
7	0	30864	
8	0	32008	
9	0	32980	
10	0	32944	
11	0	32584	
12	0	32528	
13	0	32604	
14	0	32160	
15	0	32184	
16	0	32728	
17	0	32928	
18	0	32948	
19	0	33436	
20	0	33888	
21	0	33644	
22	0	32268	
23	0	31308	
24	0	31352	
25	0	32120	
26	0	32456	
27	0	33124	
28	0	33248	
29	0	33176	
30	0	33360	
31	0	33280	
32	0	33216	
33	0	32940	
34	0	32256	
35	0	31400	
36	0	30948	
37	0	31736	
38	0	32164	
39	0	32056	
40	0	31668	
41	0	31120	
42	0	30656	
43	0	30964	
44	0	31620	
45	0	32536	
46	0	33000	
47	0	32012	
48	0	30888	
49	0	30132	
50	0	29844	
51	0	29556	
52	0	29504	
53	0	30048	
54	0	30496	
55	0	30588	
56	0	30504	
57	0	30712	
58	0	30396	
59	0	29652	
60	0	29200	
61	0	29484	
62	0	29696	
63	0	29724	
64	0	29920	
65	0	30748	
66	0	31340	
67	0	31392	
68	0	31788	
69	0	32320	
70	0	32640	
71	0	32100	
72	0	31368	
73	0	30876	
74	0	30692	
75	0	31328	
76	0	32644	
77	0	33588	
78	0	34612	
79	0	35392	
80	0	35872	
81	0	35664	
82	0	35084	
83	0	34264	
84	0	33492	
85	0	33004	
86	0	32744	
87	0	32704	
88	0	33036	
89	0	33272	
90	0	33396	
91	0	33752	
92	0	33536	
93	0	34068	
94	0	34384	
95	0	34392	
96	0	34232	
97	0	33904	
98	0	33480	
99	0	33384	
100	0	33620	
101	0	33480	
102	0	33480	
103	0	33576	
104	0	33516	
105	0	32480	
106	0	30480	
107	0	29588	
108	0	29856	
109	0	30996	
110	0	32620	
111	0	33472	
112	0	34096	
113	0	34420	
114	0	34428	
115	0	34772	
116	0	35024	
117	0	35658	
118	0	37320	
119	0	40200	
120	0	43152	
121	0	45928	
122	0	47328	
123	0	47560	
124	0	47296	
125	0	45744	
126	0	42572	
127	0	38168	
128	0	34328	
129	0	32724	
130	0	33248	
131	0	34056	
132	0	34304	
133	0	34516	
134	0	35768	
135	0	37744	
136	0	40024	
137	0	41900	
138	0	42664	
139	0	42784	
140	0	42820	
141	0	42716	
142	0	41844	
143	0	40904	
144	0	41020	
145	0	41596	
146	0	42696	
147	0	43660	
148	0	43928	
149	0	43076	
150	0	41224	
151	0	39780	
152	0	39448	
153	0	40964	
154	0	43744	
155	0	46592	
156	0	49200	
157	0	50368	
158	0	49552	
159	0	47784	
160	0	46060	
161	0	45100	
162	0	43588	
163	0	42124	
164	0	41460	
165	0	41088	
166	0	42024	
167	0	42800	
168	0	43400	
169	0	43872	
170	0	44292	
171	0	44456	
172	0	44184	
173	0	43680	
174	0	42924	
175	0	41816	
176	0	41420	
177	0	41324	
178	0	40992	
179	0	39736	
180	0	37256	
181	0	35396	
182	0	35184	
183	0	36376	
184	0	38548	
185	0	40356	
186	0	40888	
187	0	40196	
188	0	38928	
189	0	37288	
190	0	35704	
191	0	35220	
192	0	36664	
193	0	38824	
194	0	41288	
195	0	43200	
196	0	44444	
197	0	45408	
198	0	45388	
199	0	44620	
200	0	42864	
201	0	42256	
202	0	42344	
203	0	43120	
204	0	44040	
205	0	44948	
206	0	45196	
207	0	44408	
208	0	43696	
209	0	43440	
210	0	42872	
211	0	42296	
212	0	41896	
213	0	41684	
214	0	41528	
215	0	41368	
216	0	41940	
217	0	42640	
218	0	43056	
219	0	43048	
220	0	41990	
221	0	40976	
222	0	39736	
223	0	38836	
224	0	38784	
225	0	38984	
226	0	39036	
227	0	39152	
228	0	38968	
229	0	37928	
230	0	37456	
231	0	37900	
232	0	38336	
233	0	38584	
234	0	39572	
235	0	40624	
236	0	41296	
237	0	41816	
238	0	42396	
239	0	42580	
240	0	41896	
241	0	40968	
242	0	39608	
243	0	38608	
244	0	37140	
245	0	34872	
246	0	32936	
247	0	32716	
248	0	33576	
249	0	34924	
250	0	35624	
251	0	35772	
252	0	35924	
253	0	36080	
254	0	36532	
255	0	37080	
256	0	37768	
257	0	38944	
258	0	39952	
259	0	40808	
260	0	40848	
261	0	41012	
262	0	41420	
263	0	41532	
264	0	41348	
265	0	40744	
266	0	39192	
267	0	36976	
268	0	35840	
269	0	36040	
270	0	36472	
271	0	37188	
272	0	37784	
273	0	38112	
274	0	38152	
275	0	37828	
276	0	37592	
277	0	37168	
278	0	36644	
279	0	35940	
280	0	35328	
281	0	34788	
282	0	34240	
283	0	33596	
284	0	32996	
285	0	32912	
286	0	32648	
